"lumped_element_capacitance [pF]","Freq [GHz]","mag(S(1,1)) []"
0.065,8,0.0191581499247844
0.065,8.01,0.0188254983362158
0.065,8.02,0.0184945422041305
0.065,8.03,0.0181653007490679
0.065,8.04,0.0178377954313583
0.065,8.05,0.0175120501424168
0.065,8.06,0.0171880914133308
0.065,8.07,0.0168659486425651
0.065,8.08,0.0165456543448009
0.065,8.09,0.0162272444231399
0.065,8.1,0.0159107584671414
0.065,8.11,0.0155962400794175
0.065,8.12,0.0152837372337914
0.065,8.13,0.0149733026683285
0.065,8.14,0.0146649943168691
0.065,8.15,0.014358875783043
0.065,8.16,0.0140550168610986
0.065,8.17,0.0137534941082537
0.065,8.18,0.0134543914736406
0.065,8.19,0.0131578009892765
0.065,8.2,0.0128638235288107
0.065,8.21,0.0125725696400637
0.065,8.22,0.0122841604575368
0.065,8.23,0.0119987287010891
0.065,8.24,0.0117164197667834
0.065,8.25,0.0114373929154054
0.065,8.26,0.0111618225632544
0.065,8.27,0.0108898996783355
0.065,8.28,0.010621833282883
0.065,8.29,0.0103578520599739
0.065,8.3,0.0100982060575798
0.065,8.31,0.00984316847742885
0.065,8.32,0.00959303752811152
0.065,8.33,0.00934813831155671
0.065,8.34,0.00910882469886809
0.065,8.35,0.00887548113512482
0.065,8.36,0.00864852429278226
0.065,8.37,0.00842840446961579
0.065,8.38,0.00821560659996303
0.065,8.39,0.00801065071812323
0.065,8.4,0.00781409168179698
0.065,8.41,0.00762651793416405
0.065,8.42,0.00744854905979622
0.065,8.43,0.00728083187790013
0.065,8.44,0.00712403482377996
0.065,8.45,0.00697884040438582
0.065,8.46,0.00684593558489912
0.065,8.47,0.00672600007718127
0.065,8.48,0.00661969265986755
0.065,8.49,0.00652763585882106
0.065,8.5,0.00645039954048806
0.065,8.51,0.00638848419324089
0.065,8.52,0.00634230485749082
0.065,8.53,0.00631217677453238
0.065,8.54,0.00629830382165473
0.065,8.55,0.00630077066669624
0.065,8.56,0.00631953931188123
0.065,8.57,0.00635445033398749
0.065,8.58,0.00640522871759977
0.065,8.59,0.00647149378357456
0.065,8.6,0.00655277239536855
0.065,8.61,0.00664851442369006
0.065,8.62,0.00675810938170706
0.065,8.63,0.00688090319960604
0.065,8.64,0.00701621425980115
0.065,8.65,0.00716334802385719
0.065,8.66,0.0073216098104875
0.065,8.67,0.00749031549926245
0.065,8.68,0.00766880011604328
0.065,8.69,0.00785642439364912
0.065,8.7,0.00805257949376082
0.065,8.71,0.00825669012840975
0.065,8.72,0.00846821633952352
0.065,8.73,0.00868665419166511
0.065,8.74,0.00891153561441545
0.065,8.75,0.00914242760351191
0.065,8.76,0.00937893095891023
0.065,8.77,0.00962067870686743
0.065,8.78,0.00986733432413308
0.065,8.79,0.0101185898565628
0.065,8.8,0.0103741640024168
0.065,8.81,0.010633800212286
0.065,8.82,0.0108972648427512
0.065,8.83,0.0111643453891184
0.065,8.84,0.011434848813446
0.065,8.85,0.011708599977131
0.065,8.86,0.0119854401821528
0.065,8.87,0.0122652258213071
0.065,8.88,0.012547827135113
0.065,8.89,0.0128331270712711
0.065,8.9,0.013121020241394
0.065,8.91,0.0134114119690606
0.065,8.92,0.0137042174229233
0.065,8.93,0.0139993608285354
0.065,8.94,0.0142967747526759
0.065,8.95,0.0145963994541874
0.065,8.96,0.0148981822956455
0.065,8.97,0.0152020772105388
0.065,8.98,0.0155080442210119
0.065,8.99,0.0158160490016048
0.065,9,0.0161260624847994
0.065,9.01,0.0164380605045441
0.065,9.02,0.0167520234742687
0.065,9.03,0.0170679360962275
0.065,9.04,0.0173857870993004
0.065,9.05,0.0177055690026646
0.065,9.06,0.0180272779029952
0.065,9.07,0.018350913283088
0.065,9.08,0.0186764778400074
0.065,9.09,0.0190039773310503
0.065,9.1,0.0193334204359928
0.065,9.11,0.0196648186342422
0.065,9.12,0.0199981860956565
0.065,9.13,0.0203335395839226
0.065,9.14,0.0206708983715004
0.065,9.15,0.021010284165242
0.065,9.16,0.0213517210418907
0.065,9.17,0.0216952353927505
0.065,9.18,0.0220408558768892
0.065,9.19,0.022388613382314
0.065,9.2,0.0227385409946165
0.065,9.21,0.0230906739726441
0.065,9.22,0.0234450497308049
0.065,9.23,0.0238017078276636
0.065,9.24,0.0241606899605252
0.065,9.25,0.024522039965748
0.065,9.26,0.0248858038245588
0.065,9.27,0.0252520296741828
0.065,9.28,0.0256207678241263
0.065,9.29,0.0259920707774833
0.065,9.3,0.0263659932571635
0.065,9.31,0.0267425922369642
0.065,9.32,0.0271219269774336
0.065,9.33,0.0275040590664955
0.065,9.34,0.0278890524648276
0.065,9.35,0.0282769735560086
0.065,9.36,0.0286678912014667
0.065,9.37,0.0290618768002855
0.065,9.38,0.0294590043539408
0.065,9.39,0.0298593505360646
0.065,9.4,0.0302629947673469
0.065,9.41,0.0306700192957134
0.065,9.42,0.0310805092819296
0.065,9.43,0.0314945528908067
0.065,9.44,0.0319122413882048
0.065,9.45,0.0323336692440489
0.065,9.46,0.0327589342415984
0.065,9.47,0.0331881375932291
0.065,9.48,0.0336213840630163
0.065,9.49,0.0340587820964294
0.065,9.5,0.0345004439574755
0.065,9.51,0.0349464858736586
0.065,9.52,0.0353970281891496
0.065,9.53,0.0358521955265948
0.065,9.54,0.0363121169580238
0.065,9.55,0.0367769261853521
0.065,9.56,0.0372467617310167
0.065,9.57,0.0377217671393155
0.065,9.58,0.0382020911890746
0.065,9.59,0.0386878881183083
0.065,9.6,0.0391793178615893
0.065,9.61,0.039676546300903
0.065,9.62,0.0401797455308131
0.065,9.63,0.040689094138838
0.065,9.64,0.0412047775019972
0.065,9.65,0.0417269881005668
0.065,9.66,0.0422559258501614
0.065,9.67,0.042791798453348
0.065,9.68,0.0433348217720913
0.065,9.69,0.0438852202224316
0.065,9.7,0.0444432271929103
0.065,9.71,0.0450090854883786
0.065,9.72,0.0455830478009565
0.065,9.73,0.0461653772100538
0.065,9.74,0.0467563477135227
0.065,9.75,0.0473562447921827
