"lumped_element_capacitance [pF]","Freq [GHz]","mag(S(1,1)) []"
0.065,8,0.0191437554483377
0.065,8.01,0.0188113569622512
0.065,8.02,0.0184806524522784
0.065,8.03,0.0181516611315211
0.065,8.04,0.0178244044510585
0.065,8.05,0.0174989062910998
0.065,8.06,0.0171751931694195
0.065,8.07,0.0168532944688953
0.065,8.08,0.0165332426861623
0.065,8.09,0.0162150737036173
0.065,8.1,0.0158988270872349
0.065,8.11,0.015584546412921
0.065,8.12,0.0152722796244054
0.065,8.13,0.0149620794259809
0.065,8.14,0.014654003713716
0.065,8.15,0.014348116049116
0.065,8.16,0.0140444861795651
0.065,8.17,0.0137431906102501
0.065,8.18,0.0134443132326373
0.065,8.19,0.0131479460149267
0.065,8.2,0.0128541897602336
0.065,8.21,0.0125631549385053
0.065,8.22,0.0122749625983493
0.065,8.23,0.0119897453649638
0.065,8.24,0.0117076485301675
0.065,8.25,0.0114288312400306
0.065,8.26,0.0111534677846986
0.065,8.27,0.0108817489935396
0.065,8.28,0.0106138837365432
0.065,8.29,0.0103501005297296
0.065,8.3,0.0100906492379252
0.065,8.31,0.00983580286228276
0.065,8.32,0.00958585939199789
0.065,8.33,0.00934114368936926
0.065,8.34,0.00910200936422614
0.065,8.35,0.00886884057737291
0.065,8.36,0.00864205369274486
0.065,8.37,0.0084220986742976
0.065,8.38,0.00820946009648245
0.065,8.39,0.0080046576072877
0.065,8.4,0.00780824565187164
0.065,8.41,0.0076208122355522
0.065,8.42,0.00744297648153183
0.065,8.43,0.00727538472704595
0.065,8.44,0.00711870490901035
0.065,8.45,0.0069736190251954
0.065,8.46,0.00684081352798442
0.065,8.47,0.00672096762156665
0.065,8.48,0.00661473959224963
0.065,8.49,0.00652275150036155
0.065,8.5,0.00644557278587219
0.065,8.51,0.0063837035622404
0.065,8.52,0.00633755855855203
0.065,8.53,0.00630745277911037
0.065,8.54,0.00629358994721575
0.065,8.55,0.00629605466561232
0.065,8.56,0.00631480896293844
0.065,8.57,0.006349693532999
0.065,8.58,0.00640043356368979
0.065,8.59,0.00646664865807041
0.065,8.6,0.00654786603084776
0.065,8.61,0.00664353596149101
0.065,8.62,0.00675304841702387
0.065,8.63,0.00687574981405975
0.065,8.64,0.00701095904203593
0.065,8.65,0.00715798207921099
0.065,8.66,0.00731612476111625
0.065,8.67,0.00748470347626624
0.065,8.68,0.00766305374517603
0.065,8.69,0.00785053677612423
0.065,8.7,0.00804654418352621
0.065,8.71,0.00825050110708811
0.065,8.72,0.00846186799002075
0.065,8.73,0.00868014127125905
0.065,8.74,0.00890485322796045
0.065,8.75,0.00913557117723889
0.065,8.76,0.00937189621516822
0.065,8.77,0.0096134616400431
0.065,8.78,0.0098599311778961
0.065,8.79,0.0101109971025163
0.065,8.8,0.0103663783201791
0.065,8.81,0.0106258184709919
0.065,8.82,0.0108890840839316
0.065,8.83,0.0111559628109006
0.065,8.84,0.0114262617560023
0.065,8.85,0.0116998059092983
0.065,8.86,0.0119764366891414
0.065,8.87,0.0122560105934177
0.065,8.88,0.012538397957382
0.065,8.89,0.012823481813967
0.065,8.9,0.0131111568512933
0.065,8.91,0.0134013284614343
0.065,8.92,0.0136939118741698
0.065,8.93,0.0139888313694021
0.065,8.94,0.0142860195620147
0.065,8.95,0.0145854167531941
0.065,8.96,0.014886970342538
0.065,8.97,0.0151906342956329
0.065,8.98,0.0154963686621554
0.065,8.99,0.0158041391399376
0.065,9,0.016113916680807
0.065,9.01,0.0164256771343756
0.065,9.02,0.0167394009262953
0.065,9.03,0.0170550727678157
0.065,9.04,0.0173726813937812
0.065,9.05,0.0176922193264768
0.065,9.06,0.0180136826629868
0.065,9.07,0.0183370708839595
0.065,9.08,0.0186623866818811
0.065,9.09,0.0189896358071539
0.065,9.1,0.0193188269304446
0.065,9.11,0.0196499715199253
0.065,9.12,0.019983083732174
0.065,9.13,0.0203181803156226
0.065,9.14,0.0206552805255629
0.065,9.15,0.0209944060498196
0.065,9.16,0.0213355809442955
0.065,9.17,0.02167883157768
0.065,9.18,0.0220241865846854
0.065,9.19,0.0223716768272492
0.065,9.2,0.0227213353632006
0.065,9.21,0.0230731974219469
0.065,9.22,0.0234273003867901
0.065,9.23,0.0237836837835286
0.065,9.24,0.0241423892750418
0.065,9.25,0.0245034606616006
0.065,9.26,0.0248669438866757
0.065,9.27,0.0252328870480558
0.065,9.28,0.0256013404141149
0.065,9.29,0.0259723564451006
0.065,9.3,0.0263459898193387
0.065,9.31,0.0267222974642786
0.065,9.32,0.0271013385923261
0.065,9.33,0.0274831747414341
0.065,9.34,0.0278678698204434
0.065,9.35,0.0282554901591884
0.065,9.36,0.0286461045633996
0.065,9.37,0.0290397843744612
0.065,9.38,0.0294366035340949
0.065,9.39,0.0298366386540666
0.065,9.4,0.0302399690910278
0.065,9.41,0.0306466770266283
0.065,9.42,0.0310568475530498
0.065,9.43,0.0314705687641397
0.065,9.44,0.0318879318523344
0.065,9.45,0.0323090312115937
0.065,9.46,0.0327339645465801
0.065,9.47,0.0331628329883496
0.065,9.48,0.0335957412168351
0.065,9.49,0.0340327975904368
0.065,9.5,0.0344741142830552
0.065,9.51,0.0349198074289345
0.065,9.52,0.0353699972757093
0.065,9.53,0.0358248083460825
0.065,9.54,0.0362843696085971
0.065,9.55,0.036748814657994
0.065,9.56,0.0372182819056933
0.065,9.57,0.0376929147809736
0.065,9.58,0.0381728619434685
0.065,9.59,0.0386582775076466
0.065,9.6,0.0391493212799908
0.065,9.61,0.0396461590096524
0.065,9.62,0.0401489626534044
0.065,9.63,0.0406579106557927
0.065,9.64,0.0411731882454452
0.065,9.65,0.0416949877485764
0.065,9.66,0.0422235089208035
0.065,9.67,0.0427589592984781
0.065,9.68,0.0433015545708339
0.065,9.69,0.0438515189743484
0.065,9.7,0.044409085710834
0.065,9.71,0.044974497390891
0.065,9.72,0.0455480065044903
0.065,9.73,0.046129875920593
0.065,9.74,0.0467203794178794
0.065,9.75,0.0473198022488218
0.065,9.76,0.047928441739531
0.065,9.77,0.0485466079280064
0.065,9.78,0.0491746242436494
0.065,9.79,0.0498128282311415
0.065,9.8,0.0504615723220579
0.065,9.81,0.0511212246578937
0.065,9.82,0.0517921699684925
0.065,9.83,0.052474810510236
0.065,9.84,0.053169567068745
0.065,9.85,0.0538768800312773
0.065,9.86,0.0545972105344907
0.065,9.87,0.0553310416937696
0.065,9.88,0.0560788799209021
0.065,9.89,0.056841256337543
0.065,9.9,0.0576187282926229
0.065,9.91,0.0584118809926603
0.065,9.92,0.0592213292548229
0.065,9.93,0.0600477193935787
0.065,9.94,0.060891731252865
0.065,9.95,0.0617540803969484
0.065,9.96,0.0626355204745032
0.065,9.97,0.0635368457719771
0.065,9.98,0.0644588939740203
0.065,9.99,0.0654025491506799
0.065,10,0.0663687449932095
0.065,10.01,0.0673584683227744
0.065,10.02,0.0683727628990433
0.065,10.03,0.0694127335587435
0.065,10.04,0.0704795507177055
0.065,10.05,0.0715744552738443
0.065,10.06,0.0726987639529588
0.065,10.07,0.0738538751442386
0.065,10.08,0.0750412752780888
0.065,10.09,0.0762625458053436
0.065,10.1,0.0775193708443474
0.065,10.11,0.0788135455707809
0.065,10.12,0.080146985434761
0.065,10.13,0.0815217363007401
0.065,10.14,0.0829399856183838
0.065,10.15,0.0844040747471055
0.065,10.16,0.0859165125736552
0.065,10.17,0.087479990581389
0.065,10.18,0.0890973995521179
0.065,10.19,0.0907718481071143
0.065,10.2,0.0925066833237211
0.065,10.21,0.0943055136985944
0.065,10.22,0.096172234768918
0.065,10.23,0.0981110577498485
0.065,10.24,0.100126541601271
0.065,10.25,0.102223629001012
0.065,10.26,0.104407686776729
0.065,10.27,0.106684551436779
0.065,10.28,0.109060580543786
0.065,10.29,0.11154271079638
0.065,10.3,0.114138523827836
0.065,10.31,0.116856320899216
0.065,10.32,0.119705207863698
0.065,10.33,0.122695192013347
0.065,10.34,0.125837292695964
0.065,10.35,0.129143667914524
0.065,10.36,0.132627759502751
0.065,10.37,0.136304459915142
0.065,10.38,0.140190304185647
0.065,10.39,0.144303691201621
0.065,10.4,0.148665139110136
0.065,10.41,0.153297580415574
0.065,10.42,0.158226703119749
0.065,10.43,0.16348134505162
0.065,10.44,0.169093949243062
0.065,10.45,0.175101088666135
0.065,10.46,0.181544068570584
0.065,10.47,0.188469613560355
0.065,10.48,0.195930643606293
0.065,10.49,0.203987137046726
0.065,10.5,0.212707067029981
0.065,10.51,0.222167377112379
0.065,10.52,0.232454925825265
0.065,10.53,0.243667269231505
0.065,10.54,0.255913049248361
0.065,10.55,0.269311589413497
0.065,10.56,0.283991031710126
0.065,10.57,0.300083924668112
0.065,10.58,0.317718525295484
0.065,10.59,0.337003137366391
0.065,10.6,0.357999568580701
0.065,10.61,0.380680463320569
0.065,10.62,0.404864653854555
0.065,10.63,0.430126802989786
0.065,10.64,0.455686492595846
0.065,10.65,0.480303067605892
0.065,10.66,0.502237845080315
0.065,10.67,0.519379075272493
0.065,10.68,0.529609495215354
0.065,10.69,0.531375341399584
0.065,10.7,0.524221804166861
0.065,10.71,0.508978209306245
0.065,10.72,0.487464966481916
0.065,10.73,0.461911943804314
0.065,10.74,0.434412261223336
0.065,10.75,0.406609751662759
0.065,10.76,0.379624408596018
0.065,10.77,0.35412110709513
0.065,10.78,0.330428006768254
0.065,10.79,0.30865000477271
0.065,10.8,0.288756799273668
0.065,10.81,0.270643814609845
0.065,10.82,0.254171261514542
0.065,10.83,0.239187712079973
0.065,10.84,0.225543495505417
0.065,10.85,0.213097730139953
0.065,10.86,0.201721533016191
0.065,10.87,0.191299021908829
0.065,10.88,0.18172710351211
0.065,10.89,0.172914643053214
0.065,10.9,0.164781362759678
0.065,10.91,0.157256665490826
0.065,10.92,0.150278489332163
0.065,10.93,0.143792245696815
0.065,10.94,0.137749862825687
0.065,10.95,0.132108939482149
0.065,10.96,0.126832004573175
0.065,10.97,0.121885874052346
0.065,10.98,0.117241094759569
0.065,10.99,0.112871464629166
0.065,11,0.108753619244637
0.065,11.01,0.104866675624213
0.065,11.02,0.101191925153096
0.065,11.03,0.0977125686088144
0.065,11.04,0.0944134871902413
0.065,11.05,0.0912810443297659
0.065,11.06,0.0883029138328717
0.065,11.07,0.0854679305526271
0.065,11.08,0.0827659603757567
0.065,11.09,0.0801877867823161
0.065,11.1,0.0777250116529066
0.065,11.11,0.0753699683461522
0.065,11.12,0.0731156453638553
0.065,11.13,0.0709556191702518
0.065,11.14,0.0688839949420245
0.065,11.15,0.0668953542034644
0.065,11.16,0.0649847084513961
0.065,11.17,0.0631474580017936
0.065,11.18,0.0613793553978595
0.065,11.19,0.0596764728109917
0.065,11.2,0.0580351729439785
0.065,11.21,0.0564520830121859
0.065,11.22,0.0549240714351777
0.065,11.23,0.053448226919703
0.065,11.24,0.0520218396565109
0.065,11.25,0.0506423843891431
0.065,11.26,0.0493075051435056
0.065,11.27,0.0480150014334737
0.065,11.28,0.0467628157806061
0.065,11.29,0.0455490224057904
0.065,11.3,0.0443718169677617
0.065,11.31,0.043229507238286
0.065,11.32,0.0421205046167434
0.065,11.33,0.0410433163980959
0.065,11.34,0.0399965387180727
0.065,11.35,0.0389788501079951
0.065,11.36,0.0379890055992136
0.065,11.37,0.0370258313237254
0.065,11.38,0.0360882195633679
0.065,11.39,0.0351751242050902
0.065,11.4,0.0342855565643219
