"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(1,1)) [deg]"
0.065,8,-51.9240826578787
0.065,8.01,-51.5124451882984
0.065,8.02,-51.0892823737313
0.065,8.03,-50.6540354769892
0.065,8.04,-50.2061106291555
0.065,8.05,-49.7448762689966
0.065,8.06,-49.2696603798704
0.065,8.07,-48.7797475089628
0.065,8.08,-48.2743755530772
0.065,8.09,-47.7527322947757
0.065,8.1,-47.2139516724818
0.065,8.11,-46.6571097682989
0.065,8.12,-46.0812204979008
0.065,8.13,-45.4852309880791
0.065,8.14,-44.8680166295717
0.065,8.15,-44.228375795921
0.065,8.16,-43.5650242236407
0.065,8.17,-42.8765890553099
0.065,8.18,-42.161602555878
0.065,8.19,-41.4184955240985
0.065,8.2,-40.6455904363797
0.065,8.21,-39.8410943804429
0.065,8.22,-39.0030918621469
0.065,8.23,-38.1295376021236
0.065,8.24,-37.2182494811173
0.065,8.25,-36.2669018461064
0.065,8.26,-35.2730194556291
0.065,8.27,-34.233972424716
0.065,8.28,-33.1469726300708
0.065,8.29,-32.0090721572208
0.065,8.3,-30.8171645155384
0.065,8.31,-29.5679895157484
0.065,8.32,-28.2581428976577
0.065,8.33,-26.8840920105983
0.065,8.34,-25.4421990786435
0.065,8.35,-23.9287538140249
0.065,8.36,-22.3400173539579
0.065,8.37,-20.6722796553595
0.065,8.38,-18.9219325416479
0.065,8.39,-17.0855604921432
0.065,8.4,-15.1600509165282
0.065,8.41,-13.1427249688234
0.065,8.42,-11.0314888257778
0.065,8.43,-8.82500369278674
0.065,8.44,-6.52287055400447
0.065,8.45,-4.12582287656602
0.065,8.46,-1.6359172588505
0.065,8.47,0.94329130726031
0.065,8.48,3.60660580685621
0.065,8.49,6.34709329180214
0.065,8.5,9.15605878248837
0.065,8.51,12.0231025698383
0.065,8.52,14.9362711195989
0.065,8.53,17.8823036738366
0.065,8.54,20.8469666529363
0.065,8.55,23.8154575610535
0.065,8.56,26.7728511425018
0.065,8.57,29.704554809498
0.065,8.58,32.5967390778015
0.065,8.59,35.4367121855496
0.065,8.6,38.2132154892325
0.065,8.61,40.916626093217
0.065,8.62,43.5390635965714
0.065,8.63,46.0744071079711
0.065,8.64,48.5182355879477
0.065,8.65,50.8677086122884
0.065,8.66,53.1214059218148
0.065,8.67,55.2791431747808
0.065,8.68,57.3417788875763
0.065,8.69,59.3110243714138
0.065,8.7,61.1892651481309
0.065,8.71,62.9793992716292
0.065,8.72,64.684695424491
0.065,8.73,66.3086716862525
0.065,8.74,67.8549944641344
0.065,8.75,69.3273961644055
0.065,8.76,70.7296096645292
0.065,8.77,72.0653174224851
0.065,8.78,73.338113040684
0.065,8.79,74.551473214604
0.065,8.8,75.7087381847733
0.065,8.81,76.813099034922
0.065,8.82,77.8675904117321
0.065,8.83,78.8750874655217
0.065,8.84,79.8383060164972
0.065,8.85,80.759805133176
0.065,8.86,81.6419914668404
0.065,8.87,82.4871248191167
0.065,8.88,83.2973245308973
0.065,8.89,84.0745763722729
0.065,8.9,84.8207396875668
0.065,8.91,85.5375546095118
0.065,8.92,86.2266492044763
0.065,8.93,86.8895464485111
0.065,8.94,87.5276709636978
0.065,8.95,88.1423554673707
0.065,8.96,88.7348469045582
0.065,8.97,89.306312247528
0.065,8.98,89.8578439564821
0.065,8.99,90.390465102976
0.065,9,90.9051341630681
0.065,9.01,91.402749491052
0.065,9.02,91.8841534871979
0.065,9.03,92.3501364745745
0.065,9.04,92.8014403009325
0.065,9.05,93.2387616820033
0.065,9.06,93.6627553025501
0.065,9.07,94.0740366911846
0.065,9.08,94.4731848844626
0.065,9.09,94.8607448951065
0.065,9.1,95.2372299984759
0.065,9.11,95.6031238506149
0.065,9.12,95.958882450395
0.065,9.13,96.3049359574715
0.065,9.14,96.641690376967
0.065,9.15,96.9695291210398
0.065,9.16,97.288814456748
0.065,9.17,97.5998888489268
0.065,9.18,97.9030762061422
0.065,9.19,98.1986830371499
0.065,9.2,98.486999524731
0.065,9.21,98.7683005232193
0.065,9.22,99.0428464855487
0.065,9.23,99.310884325177
0.065,9.24,99.5726482178222
0.065,9.25,99.8283603475482
0.065,9.26,100.078231601375
0.065,9.27,100.322462216254
0.065,9.28,100.561242381937
0.065,9.29,100.794752802994
0.065,9.3,101.023165222964
0.065,9.31,101.246642913389
0.065,9.32,101.465341130265
0.065,9.33,101.679407540234
0.065,9.34,101.888982618671
0.065,9.35,102.094200021624
0.065,9.36,102.295186933445
0.065,9.37,102.492064391774
0.065,9.38,102.684947591422
0.065,9.39,102.873946168574
0.065,9.4,103.059164466637
0.065,9.41,103.240701784914
0.065,9.42,103.418652611247
0.065,9.43,103.593106839637
0.065,9.44,103.764149973797
0.065,9.45,103.931863317507
0.065,9.46,104.096324152575
0.065,9.47,104.25760590515
0.065,9.48,104.415778301068
0.065,9.49,104.570907510848
0.065,9.5,104.723056284937
0.065,9.51,104.872284079718
0.065,9.52,105.018647174769
0.065,9.53,105.162198781833
0.065,9.54,105.302989145889
0.065,9.55,105.441065638707
0.065,9.56,105.576472845228
0.065,9.57,105.70925264306
0.065,9.58,105.83944427539
0.065,9.59,105.967084417537
0.065,9.6,106.092207237378
0.065,9.61,106.214844449848
0.065,9.62,106.335025365665
0.065,9.63,106.452776934441
0.065,9.64,106.568123782289
0.065,9.65,106.68108824404
0.065,9.66,106.79169039012
0.065,9.67,106.899948048162
0.065,9.68,107.005876819373
0.065,9.69,107.109490089663
0.065,9.7,107.210799035522
0.065,9.71,107.309812624603
0.065,9.72,107.406537610949
0.065,9.73,107.500978524783
0.065,9.74,107.593137656729
0.065,9.75,107.683015036342
0.065,9.76,107.770608404772
0.065,9.77,107.855913181354
0.065,9.78,107.938922423908
0.065,9.79,108.019626782475
0.065,9.8,108.098014446195
0.065,9.81,108.174071082973
0.065,9.82,108.247779771577
0.065,9.83,108.319120925717
0.065,9.84,108.388072209635
0.065,9.85,108.454608444679
0.065,9.86,108.518701506272
