"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(1,1)) [deg]"
0.065,8,-63.4022224597901
0.065,8.01,-63.0194870501704
0.065,8.02,-62.6251898432695
0.065,8.03,-62.2187723748203
0.065,8.04,-61.7996410457742
0.065,8.05,-61.3671645617566
0.065,8.06,-60.9206711700224
0.065,8.07,-60.459445678736
0.065,8.08,-59.9827262428052
0.065,8.09,-59.4897009000643
0.065,8.1,-58.9795038414196
0.065,8.11,-58.4512113987085
0.065,8.12,-57.9038377346306
0.065,8.13,-57.336330220335
0.065,8.14,-56.7475644882876
0.065,8.15,-56.1363391511669
0.065,8.16,-55.5013701820696
0.065,8.17,-54.8412849576404
0.065,8.18,-54.1546159744137
0.065,8.19,-53.4397942602821
0.065,8.2,-52.6951425183832
0.065,8.21,-51.918868060791
0.065,8.22,-51.1090556153745
0.065,8.23,-50.2636601224661
0.065,8.24,-49.3804996802333
0.065,8.25,-48.4572488508324
0.065,8.26,-47.4914326057658
0.065,8.27,-46.4804212708443
0.065,8.28,-45.4214269313992
0.065,8.29,-44.3115018794617
0.065,8.3,-43.1475398288135
0.065,8.31,-41.9262807925241
0.065,8.32,-40.6443207107061
0.065,8.33,-39.2981271309885
0.065,8.34,-37.8840624737582
0.065,8.35,-36.3984166456051
0.065,8.36,-34.8374509761727
0.065,8.37,-33.1974556129022
0.065,8.38,-31.474822567858
0.065,8.39,-29.6661365071525
0.065,8.4,-27.7682850254324
0.065,8.41,-25.7785894598762
0.065,8.42,-23.6949561686108
0.065,8.43,-21.5160465366512
0.065,8.44,-19.2414617260363
0.065,8.45,-16.8719353800737
0.065,8.46,-14.4095242716255
0.065,8.47,-11.8577835653874
0.065,8.48,-9.22191044743706
0.065,8.49,-6.50883803545138
0.065,8.5,-3.72726147697726
0.065,8.51,-0.887580647443546
0.065,8.52,1.99825075410831
0.065,8.53,4.91697180650074
0.065,8.54,7.85434876840038
0.065,8.55,10.7955789837497
0.065,8.56,13.7257370381364
0.065,8.57,16.6302301865197
0.065,8.58,19.4952287888519
0.065,8.59,22.3080409288955
0.065,8.6,25.0574078101793
0.065,8.61,27.7337063855072
0.065,8.62,30.3290561037634
0.065,8.63,32.8373359248028
0.065,8.64,35.2541246616825
0.065,8.65,37.5765817440457
0.065,8.66,39.8032867678832
0.065,8.67,41.9340552479168
0.065,8.68,43.9697455582857
0.065,8.69,45.9120688692199
0.065,8.7,47.7634105628257
0.065,8.71,49.5266685545103
0.065,8.72,51.2051113895833
0.065,8.73,52.8022570115174
0.065,8.74,54.3217716926613
0.065,8.75,55.7673877055926
0.065,8.76,57.1428377952486
0.065,8.77,58.4518042882345
0.065,8.78,59.6978806567256
0.065,8.79,60.8845434670888
0.065,8.8,62.0151328318546
0.065,8.81,63.0928397078538
0.065,8.82,64.1206986159556
0.065,8.83,65.1015845817402
0.065,8.84,66.0382133017371
0.065,8.85,66.9331437218374
0.065,8.86,67.7887823717345
0.065,8.87,68.6073889324917
0.065,8.88,69.3910826254523
0.065,8.89,70.1418491021623
0.065,8.9,70.8615475893906
0.065,8.91,71.5519181032966
0.065,8.92,72.2145885946449
0.065,8.93,72.8510819248414
0.065,8.94,73.4628226022709
0.065,8.95,74.0511432315082
0.065,8.96,74.6172906457498
0.065,8.97,75.1624317063483
0.065,8.98,75.6876587634979
0.065,8.99,76.1939947796428
0.065,9,76.6823981226179
0.065,9.01,77.1537670393704
0.065,9.02,77.6089438236924
0.065,9.03,78.0487186930333
0.065,9.04,78.4738333903733
0.065,9.05,78.8849845275143
0.065,9.06,79.2828266861205
0.065,9.07,79.6679752925273
0.065,9.08,80.0410092818279
0.065,9.09,80.4024735660865
0.065,9.1,80.7528813208011
0.065,9.11,81.092716102942
0.065,9.12,81.4224338130867
0.065,9.13,81.7424645133677
0.065,9.14,82.0532141121482
0.065,9.15,82.3550659255824
0.065,9.16,82.6483821254713
0.065,9.17,82.9335050821335
0.065,9.18,83.2107586103493
0.065,9.19,83.480449125814
0.065,9.2,83.7428667189646
0.065,9.21,83.9982861525009
0.065,9.22,84.2469677884245
0.065,9.23,84.4891584499558
0.065,9.24,84.7250922232642
0.065,9.25,84.9549912035449
0.065,9.26,85.1790661896243
0.065,9.27,85.397517330926
0.065,9.28,85.6105347303356
0.065,9.29,85.8182990062108
0.065,9.3,86.0209818165248
0.065,9.31,86.2187463478946
0.065,9.32,86.4117477720256
